SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.566167332,47,0,0.742309513,4225,14,0,2,0,0
1,0.152292821,60,6,0.682263547,5000,23,0,2,0,0
1,0.9999999,24,1,0.148243359,3500,2,1,0,0,0
1,0.9999999,40,0,0.103157895,5224,1,5,0,0,1
1,0,46,2,0.296673717,5200,4,2,1,1,2
1,1.02716214,47,3,0.38410265,6000,7,4,2,0,1
1,0.9999999,49,0,0.200023998,8333,1,2,1,1,0
1,0.965883839,37,0,0.838560515,4973,20,0,1,0,1
1,0.9999999,30,0,0.15367038,3500,1,2,0,1,0
1,0.276827003,48,1,0.572063428,9900,14,1,4,0,2
1,0.851905521,35,0,0.043021266,4090,1,0,0,0,3
1,0.9999999,32,0,0.022998296,2347,0,0,0,0,0
1,1.039410305,37,1,0.232461256,6000,6,1,0,2,0
1,0.839920949,39,1,0.925476603,7500,5,1,3,0,2
1,1.114968064,30,4,0.320020837,5758,8,2,2,0,0
1,0.536070308,51,1,0.269421957,7040,5,5,0,0,1
1,0.339503567,89,1,0.549380248,2500,9,3,0,1,0
1,1.115261271,29,3,0.28443113799999997,4675,12,0,0,3,2
1,0.014245716,80,2,517,NA,9,2,0,0,NA
1,0.501188696,31,0,0.152967147,7700,17,0,0,0,0
1,0.9999999,28,0,0.419966403,4166,4,0,2,2,0
1,0.9999999,35,0,0.237826394,2833,1,3,1,0,2
1,0.476014971,48,0,0.695092355,14833,13,0,4,0,2
1,0.616766467,36,3,0.503580852,2652,9,1,0,1,1
1,0.621690545,48,1,0.404724705,16000,12,0,2,0,0
1,0.549525197,48,4,0.744913382,8600,21,0,2,1,3
1,0.9999999,33,1,0.089740358,3966,2,1,0,0,2
1,0.9999999,35,0,0.098360656,2500,4,5,0,0,2
1,0,27,1,0.113863864,3995,3,0,0,0,2
1,0.9999999,39,0,0.041420118,3041,2,1,0,0,3
1,0.741049126,28,1,0.020228216,1927,1,0,0,0,0
1,0.9999999,58,0,0.610111592,4390,4,0,2,1,1
1,0.356322788,60,3,1422,NA,10,0,2,0,0
1,0.705051492,39,0,0.963179712,4100,13,4,2,2,0
1,0.965897196,52,2,0.550931134,8000,11,0,2,1,0
1,0.067025238,56,4,3459,NA,5,3,1,4,2
1,0.497543138,40,0,0.19853431,1500,4,2,0,0,0
1,1.123505976,40,1,0.72311952,4333,3,1,1,1,1
1,0,60,2,0.588565416,2850,5,0,1,1,2
1,0.9999999,21,98,0,NA,0,98,0,98,0
1,0.953770145,53,0,0.558055243,8000,15,0,2,0,0
1,0.249566724,53,0,3175,NA,6,0,2,0,0
1,7.44e-5,54,2,1762,NA,15,0,1,0,1
1,0.083137136,45,1,109,NA,7,0,0,0,0
1,0.62728137,63,0,0.446129395,15100,15,0,3,0,0
1,0.39934664,56,0,298,NA,6,0,0,0,NA
1,0.466962798,26,1,24,NA,2,2,0,0,0
1,1.092065415,60,3,586,NA,6,0,0,0,0
1,0.025766243,69,0,1.029385035,3300,9,1,3,0,0
1,0.793465739,43,2,0.29135188,11250,9,0,2,0,2
1,0.9999999,52,0,0.504023409,4100,1,0,1,1,5
1,0.956910527,42,1,0.354411397,4000,10,0,0,0,0
1,0.250903686,44,0,0.170575693,7034,5,0,1,1,1
1,0.720252769,48,0,1.309563479,3000,13,0,2,0,0
1,0.933263574,31,1,0.171613479,4480,12,0,0,0,0
1,0.963011619,39,2,3.173398682,5916,19,0,12,0,2
1,1.20199778,47,0,70,NA,3,0,0,0,0
1,0.9999999,34,0,0.177764447,5000,2,0,0,0,4
1,0.029089306,55,0,0.728813559,5250,10,0,2,0,2
1,0.995853158,46,1,5393,NA,8,0,1,0,3
1,0.110755698,70,2,0.237712022,8076,10,0,1,0,1
1,0.583846866,41,1,1.079788457,4348,23,0,1,0,3
1,2.435129741,52,1,0.235224586,3383,2,0,0,1,0
1,0.031585449,78,0,0.013746563,4000,16,1,0,0,0
1,0.763447024,59,5,5733,NA,15,0,1,0,0
1,0.900221729,46,0,636,NA,3,0,0,0,0
1,1.002173441,25,2,0.096737908,8000,4,0,0,0,0
1,0.957011136,38,0,0.800959233,4586,12,0,2,0,0
1,0.775317812,42,2,0.43341489,5721,7,3,2,0,2
1,0.999578415,23,2,0.214450423,1300,3,0,0,0,0
1,0.9999999,34,0,0.473129798,5600,6,3,2,3,5
1,0.006629548,49,0,0.492796821,4025,23,0,2,0,1
1,1.005664778,32,0,0.192859323,3276,4,0,0,0,1
1,0.856478431,47,0,1.309922519,4000,16,0,2,0,0
1,0.484653819,59,0,0.106695355,7900,4,0,0,0,1
1,0.98608998,27,0,0.221203916,4800,6,1,0,2,0
1,0.498751041,31,0,24,NA,1,0,0,1,0
1,0.378299203,33,0,0.840889502,5800,14,0,4,0,0
1,0,52,1,0.344895189,6630,9,0,2,0,0
1,0.471002762,63,1,0.066793321,10000,3,0,0,0,0
1,0.071297251,78,0,0.679888543,6100,12,0,4,0,1
1,0.520593606,38,0,1.808869457,1600,6,0,2,0,0
1,0.9999999,49,0,0,3683,0,0,0,0,1
1,0.025949077,62,0,0.18960099,10500,32,0,2,0,0
1,0.775736287,27,1,0.390724799,3600,8,0,0,0,1
1,0.394701385,40,2,0.486102779,5000,18,0,1,0,4
1,0.503856041,64,0,1.206393329,2877,11,10,1,2,0
1,1.836327345,35,2,0.042281219,3050,3,1,0,0,4
1,0.754439125,40,2,0.191532573,6400,10,4,0,1,1
1,0.800047039,54,1,1.666307084,2780,19,1,2,1,0
1,0.480249139,30,5,0.44939577000000003,2647,14,0,1,0,0
1,0.865318953,46,0,0.578218736,6500,17,0,2,1,1
1,0.9999999,29,0,0.182563542,3658,7,5,0,0,0
1,0.917131321,43,5,2642,NA,5,2,1,0,0
1,0.239842149,54,1,0.132178563,8601,27,1,0,0,1
1,0.054416074,39,0,0.555166783,4286,6,0,2,0,0
1,0.094763092,43,1,342,NA,3,3,0,0,0
1,0.804947669,31,2,24,NA,6,0,0,0,0
1,0.96100325,49,2,0.773226042,4100,9,0,2,0,3
1,0.426962656,48,1,0.593876913,3200,12,0,3,0,1
1,0.024127851,69,0,0.423622413,4300,16,0,1,0,2
1,0.360271979,61,0,0.277280702,11399,17,0,1,0,0
1,0.987958148,55,0,10527,NA,12,0,5,0,1
1,0.789601486,61,2,4089,NA,5,2,1,0,0
1,0.979619304,30,3,0.263827577,3850,5,1,0,0,4
1,0,32,0,0.086052956,6495,3,0,0,0,4
1,0.392248482,50,0,1.595253368,4676,14,0,3,0,1
1,0.9999999,58,0,0.004774694,3350,0,1,0,1,2
1,0.68303962,64,0,0.67876264100000006,6723,6,0,2,0,0
1,0.115467555,33,1,0.080858571,3400,4,0,0,0,1
1,0.355289421,56,3,0.612967724,3500,5,0,2,1,0
1,0.906290957,57,0,2158,NA,5,4,2,2,6
1,0.9999999,50,0,1059,NA,1,0,1,1,0
1,0.9999999,53,2,0.688007645,4185,3,8,1,1,1
1,1.034430714,40,3,0.433426629,2500,7,1,0,0,0
1,0.761919913,62,0,0.033650623,14917,5,0,0,1,0
1,0.401599733,60,1,0.361164708,5700,5,0,0,3,0
1,0.958417971,52,4,0.381881676,9735,15,0,1,0,0
1,0.9999999,36,0,0,4000,0,1,0,0,0
1,0.662001064,35,0,2428,0,17,0,0,0,3
1,0.448310971,40,0,0.746590627,4032,9,0,1,0,2
1,0.9999999,35,2,0.109341728,10800,8,2,0,0,0
1,0.943201515,66,1,7181,NA,17,0,2,2,0
1,0.96963256,35,0,1.5976006,4000,13,0,3,0,0
1,1.389221557,37,0,0.748296229,2200,4,8,0,1,1
1,0.527448733,37,0,0.151238159,6016,6,0,0,0,2
1,0.009750346,49,0,0.0055666,2514,4,1,0,0,0
1,0.9999999,34,1,0.59141143,3166,4,1,1,1,2
1,0.418538579,47,0,1.087703912,5700,25,0,7,0,4
1,0.456203962,53,0,0.56323946,6000,7,0,1,0,3
1,0.970008569,38,2,0.577553957,3474,5,0,1,0,3
1,0.9999999,23,0,0.010747313,4000,0,1,0,0,0
1,0.738553836,52,0,0.105718154,9600,7,1,0,0,0
1,0.9999999,25,0,0,2500,0,1,0,0,0
1,1.003322259,46,0,0.003213138,2800,1,0,0,0,0
1,0.946487433,66,5,0.698974359,7799,20,0,2,0,2
1,0,54,1,0.386358587,4500,5,0,1,0,0
1,0.9999999,49,0,0.99448466,2900,6,0,2,0,0
1,0.739109153,29,3,0.094322551,4420,7,0,0,0,0
1,0.790978842,44,2,0.464841829,6100,9,0,3,0,2
1,0.444546604,30,1,0.270287338,3166,9,2,0,0,0
1,0.964497041,55,0,0.202069385,6571,14,0,1,0,3
1,0.320639979,48,0,0.20305399,5500,5,1,0,0,2
1,0.870302137,37,1,0.506873773,5600,5,4,1,0,4
1,0.724171731,34,5,0.434818825,2400,9,1,0,0,2
1,0.9999999,27,0,466,NA,1,0,0,1,NA
1,1.12989445,58,6,0.940035273,1700,8,0,2,0,0
1,0.943823289,42,2,0.065586883,5000,4,1,0,3,3
1,0.474979527,44,1,0.432684443,6112,17,0,1,0,0
1,0.858205486,45,0,0.024877832,2250,6,0,0,1,1
1,0.230330056,51,0,0.229885057,2000,7,0,0,0,3
1,0.895300276,40,1,0.284821986,1600,9,1,0,0,1
1,0.951351048,54,1,0.141169854,5333,9,0,0,0,4
1,0.9999999,51,1,0.261873813,10000,3,2,1,3,3
1,0.061872818,51,1,2.2041399,1400,16,0,3,0,1
1,0.427350427,48,0,0.060338201,2601,1,0,0,0,0
1,0.869048685,62,1,2.021295089,2300,20,0,2,0,2
1,0.319214662,48,0,0.883996057,6085,17,0,3,0,1
1,0.874402434,46,2,0.030777256,1916,2,0,0,0,2
1,0.9999999,54,0,0.122244944,4400,2,2,0,0,0
1,1.005241441,38,2,0.198633561,6000,5,0,0,0,3
1,0.720060856,27,2,634,NA,3,0,0,2,0
1,0.9999999,46,2,0.252369347,3692,4,2,0,0,2
1,0.418581419,26,0,0.145963509,4000,4,1,0,0,0
1,1.136212625,37,0,0.062298108,2166,3,1,0,0,1
1,0.072212193,64,5,0.334455087,7725,11,1,2,0,3
1,0,60,4,0.920748614,4327,5,4,3,1,1
1,0.9999999,28,98,0,2400,0,98,0,98,1
1,0.960582691,25,1,0.273726274,1000,4,0,0,0,0
1,0.261921299,50,3,0.103645298,8750,8,2,0,2,1
1,0.814628418,49,2,0.568767768,10200,10,0,2,0,3
1,0,37,0,1.23755249,5000,12,0,2,0,4
1,0.529187377,61,0,0.261280735,3700,13,0,0,0,0
1,0.39005545,28,1,398,NA,7,0,0,0,NA
1,1.04636291,70,1,0.026858214,1600,5,1,0,0,0
1,1.070673787,45,0,0.558319871,3094,6,0,0,0,0
1,0.029284552,37,0,0.933522497,7400,9,1,1,0,2
1,1.094433952,40,4,0.315929793,4500,7,0,0,0,2
1,0.891435034,47,0,2131,NA,17,0,2,0,0
1,0.112807587,63,0,0.049797697,3212,10,0,0,0,0
1,0.410443155,52,0,0.19177892,7200,4,9,0,1,0
1,0.999796085,53,0,0.37924966,12500,9,0,2,0,0
1,0.9999999,28,1,0.155201627,2950,3,3,0,1,0
1,1.021736768,41,3,0.352867308,7166,13,0,1,1,0
1,0.196786816,42,0,0.132949364,4166,8,0,0,0,4
1,0.9999999,68,0,0,11500,0,2,0,1,1
1,0.9999999,58,0,983,NA,5,0,0,1,0
1,0.9999999,32,0,190,NA,2,0,0,0,0
1,0.149764181,28,0,0.303431505,3700,12,0,1,0,0
1,0.9999999,55,0,1668,NA,2,5,2,0,0
1,0.660226516,35,1,0.237254249,3000,3,0,0,1,5
1,0.952268258,39,0,0.8948022,5636,8,0,2,0,2
1,0.994738227,37,1,0.235432806,5937,11,0,0,0,2
1,0.573685263,34,0,0.360409898,4000,5,0,2,0,0
1,0.914847866,38,1,0.563745447,9333,11,0,2,0,0
1,0.992947741,30,1,1827,NA,6,1,0,0,0
1,0.9999999,60,1,0.540617473,4566,2,0,1,1,0
1,0.9999999,39,0,0.200724419,3312,3,1,0,0,1
1,0.409644307,63,0,0.32230908,3325,6,0,0,0,0
1,0.872221703,55,2,0.42193087,7550,5,0,2,0,0
1,0.263146749,40,0,0.578710645,2000,10,0,1,0,0
1,0.25748503,36,0,3,NA,1,2,0,0,0
1,0.299731926,45,0,0.061213939,9670,5,0,0,0,1
1,0.062211556,61,1,1.649500384,1300,11,1,1,0,0
1,1.023255814,33,1,0.003911343,2300,1,3,0,0,3
1,1.235880399,38,1,0.036304962,2478,3,1,0,0,4
1,0.9999999,25,1,0.116627791,3000,5,1,0,2,1
1,0.9999999,55,0,0.046990602,5000,1,0,0,0,0
1,0.9999999,79,1,0.036151065,13000,1,3,0,0,1
1,0.272942745,65,0,0.712990937,5295,6,3,1,1,0
1,0.9999999,63,0,0.160550459,2833,1,1,0,0,0
1,0.965438446,41,3,0.117397715,5425,4,0,1,0,1
1,0.9999999,56,1,0.07801182,78000,6,1,1,0,3
1,1.758483034,39,0,231,NA,12,3,0,1,0
1,0.775514892,50,1,0.035308822,9600,12,0,0,0,0
1,0.304384671,59,1,0.360048744,10667,19,0,2,0,0
1,0.696517413,37,2,0.089620069,5500,2,3,0,0,0
1,0.479778657,61,0,0.372490927,13500,16,0,2,0,1
1,1.028884304,27,0,1114,NA,7,0,0,2,NA
1,0.072066281,48,0,0.426368412,5900,5,0,2,1,2
1,0.9999999,28,0,427,NA,1,1,0,0,0
1,0.833701048,46,0,2908,NA,12,0,1,0,2
1,1.128368727,31,1,0.192992112,5450,4,0,0,1,1
1,0.008997751,32,2,0.413834466,2500,8,0,1,0,1
1,0.822736752,61,1,1.965395894,1704,9,0,1,0,1
1,0.071934033,63,0,0.459479777,6650,20,0,1,0,1
1,0.805701342,61,1,0.282287085,2500,12,0,1,0,0
1,0.9999999,41,1,0.402998637,2200,3,1,1,1,1
1,0.270057665,74,1,0.524914005,10174,10,0,2,0,0
1,0.255367972,33,0,0.103888214,6583,6,0,0,0,1
1,0.779295208,51,2,0.188103781,7245,7,1,0,1,3
1,0.998181983,37,5,0.169708029,3287,4,1,0,2,0
1,0,26,2,0.261010538,3700,6,0,0,1,0
1,0.882935284,42,0,0.780654162,6450,12,0,2,0,0
1,0.9999999,36,1,0.124399154,5200,2,2,0,1,0
1,0.980464544,50,2,0.843156357,2052,7,0,1,0,2
1,0.9999999,35,0,0,2500,0,1,0,0,1
1,0.388404838,35,0,0.312152408,8450,8,0,2,0,3
1,1.006119951,32,2,0.651159561,7200,11,1,3,0,0
1,0.232001993,55,0,0.400653168,7654,10,0,2,0,0
1,1.012329499,68,2,0.403740729,3100,2,2,0,0,1
1,0.991502124,61,10,1.2979007,3000,11,2,3,5,1
1,0.257638463,54,0,7955,NA,10,0,1,0,2
1,0.231179214,31,1,0.02444842,5030,3,1,0,1,2
1,0.02527043,41,0,0.001032125,7750,5,0,0,0,2
1,1.055090798,62,3,937,NA,9,2,2,3,NA
1,1.001092572,45,1,0.269632376,16184,8,0,1,0,1
1,0.11159557,44,0,0.726177569,8300,12,0,2,0,1
1,0.99905771,50,4,0.590068322,6000,9,0,2,0,0
1,0.774788624,43,0,0.18751179,5300,5,3,0,2,1
1,0.57888986,49,3,0.4493002,3500,7,1,1,1,0
1,0.642984014,71,2,1473,NA,2,0,1,0,0
1,0.831646044,49,1,0.310229923,3000,3,2,0,0,0
1,7.11095e-4,80,1,0.478645066,12900,13,0,4,0,1
1,0.339228643,57,0,0.552484563,3400,18,0,0,0,0
1,0.639006626,70,0,0.266197705,2700,10,1,1,0,0
1,0.9999999,33,0,0.30696995,4791,5,0,2,0,0
1,1.023395321,48,1,6456,NA,7,0,3,0,NA
1,0.049649238,64,2,0.666242501,5500,12,0,3,1,0
1,1.001272496,62,1,0.280813653,5800,7,4,0,1,2
1,0.114583742,61,0,0.220977902,10000,11,0,1,0,0
1,0.28992259,43,0,0.12815338,5945,13,0,0,0,5
1,0.13455683,88,1,822,NA,11,0,0,0,0
1,0.757534513,57,0,0.564457393,5491,15,0,1,0,1
1,0.24750499,29,0,0.318723568,2600,7,0,0,0,3
1,0.9999999,48,0,1761,NA,7,0,0,0,0
1,0.821704108,50,0,0.504587648,18636,14,0,2,0,4
1,0.875749786,36,1,706,NA,4,0,0,0,0
1,1.756487026,48,3,4891,NA,5,3,1,0,0
1,0.483033932,58,0,0.019380821,3972,3,2,0,0,0
1,0.9999999,30,0,0.005640303,7800,0,0,0,1,1
1,1.4051896210000001,22,1,0.013493253,2000,1,0,0,0,0
1,0.123562661,63,4,1.273573522,5800,17,0,3,0,1
1,0.538577474,59,0,0.391131174,3765,8,0,2,0,3
1,0.141656829,55,0,0.729919327,2850,7,0,2,0,0
1,0.139896373,29,2,0.574371403,3300,8,0,1,0,1
1,0.9999999,37,0,0.061953223,5600,3,0,0,1,2
1,0.397057615,50,2,0.227150175,7417,10,0,0,1,2
1,0.649591242,37,1,0.218187559,9500,7,0,1,0,2
1,0.281303377,23,1,0.165889407,1500,10,0,0,0,1
1,1.30969031,35,0,0.155915258,4200,5,0,0,0,0
1,0.543946367,45,1,1.14765764,5058,16,0,2,0,0
1,0,82,5,2146,NA,5,1,1,1,0
1,0.395118826,47,1,2887,NA,9,0,1,0,0
1,0.870784043,38,0,0.547556555,8000,10,0,3,0,3
1,0.99090294,45,2,0.268474436,4830,5,0,0,0,3
1,0.502339612,45,0,0.670501411,4606,11,0,1,0,0
1,0.342050336,56,2,0.470570525,6642,20,0,1,0,1
1,0.984060721,45,0,0.353544072,9268,7,0,1,0,2
1,0.084312931,46,0,504,NA,4,0,1,0,0
1,0.181019332,52,0,0.948694596,3293,11,0,2,0,0
1,0.9999999,36,0,0.009327115,1500,0,4,0,0,0
1,0.255755131,63,6,0.103200592,9466,14,0,0,1,0
1,0.819523465,43,0,2.179937952,966,10,0,1,0,2
1,0.849270665,62,1,0.056441327,3135,9,2,0,1,0
1,0.802838938,48,2,0.211554486,10800,9,1,0,0,1
1,0.209796653,42,0,6104,NA,22,0,8,0,1
1,0.944365193,30,2,0.130773845,5000,3,2,0,0,1
1,0.590720755,48,0,0.67450719,10500,20,0,5,0,0
1,0.391588336,73,0,1257,NA,11,0,0,0,0
1,0.9999999,36,0,0.530979347,1500,1,4,0,0,1
1,1.039989192,55,6,435,NA,8,0,0,1,1
1,0.626471121,71,0,0.416940054,3352,18,1,0,0,0
1,0.88372093,27,0,0.012497917,6000,4,0,0,0,0
1,0.042751629,62,0,3818,NA,14,0,3,0,0
1,0.9999999,23,0,0,1760,0,1,0,0,0
1,0.791695743,60,1,0.047995483,7083,3,0,0,0,0
1,0.992422391,68,0,0.089982004,3333,4,0,0,1,3
1,2.023255814,43,0,237,NA,2,6,0,0,0
1,0.9999999,28,0,87,NA,1,1,0,0,0
1,0.269562484,32,0,1.24445111,3333,17,0,3,0,0
1,0.9999999,32,1,29,NA,2,1,0,0,0
1,0.886140766,69,0,0.550536838,2700,11,0,0,0,0
1,3.862275449,54,0,0.026216396,4500,0,2,0,2,0
1,0.986295215,50,3,0.170919325,5329,6,0,2,1,1
1,0.144600554,44,1,0.161783086,7200,8,0,1,0,2
1,0.378929686,38,0,0.447300771,4667,8,0,2,0,1
1,0,64,0,841,NA,5,2,0,1,4
1,0.57753097,53,1,0.887293765,4666,30,5,1,0,1
1,0.9999999,60,2,0.462719298,2735,3,0,1,0,3
1,0.169800104,47,0,0.615676865,5000,14,0,2,0,0
1,0,54,1,0.475725816,8300,10,1,3,0,0
1,0.366006665,64,4,0.404761905,10667,9,0,2,0,1
1,0.170592257,52,1,2271,NA,13,1,1,0,0
1,0.9999999,21,98,0,2300,0,98,0,98,0
1,0.772891132,55,2,0.286726106,12000,6,1,2,0,0
1,0,31,0,0.018490904,3352,2,0,0,0,1
1,0.566200722,44,0,0.790549451,4549,7,0,3,0,1
1,0.439941341,53,2,0.471799808,5194,9,1,1,0,0
1,0.853305241,23,1,0.197125898,3200,5,1,0,1,0
1,0.8752499,56,2,3366,NA,6,3,1,3,6
1,0.9999999,53,2,0.049512021,4200,2,1,0,0,0
1,0.46525312,49,1,0.594604792,5300,10,1,1,0,3
1,0.393032419,37,0,0.268284462,8900,9,0,1,0,3
